ID,SMILES,Filtered Abnormal Hepatic Fun _IC50,Filtered Cholecystiti_IC50,Filtered Cholelitiasi_IC50,Filtered Cholestasi_IC50,Filtered cholestatic Jaundice_IC50,Filtered Hepatic Failure_IC50,Filtered Hepatic necrosi_IC50,Filtered Hepatic Steatosi_IC50,Filtered Hepatiti_IC50,Filtered HepatoBiliary disorder_IC50,Filtered HepatoCellular injury_IC50,Filtered Hepatomegaly_IC50,Filtered Hepatotoxicity_IC50,Filtered Hyperbilirubinemia_IC50,Filtered Jaundice_IC50,Filtered Liver Injury_IC50
57,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,0.548558107033324,0.5396505940017761,0.8681222660119737,,0.6983882393079156,0.5973462941920316,0.8908623551488832,,0.9526897882927032,,0.4306651143337782,0.2153837323008924,1.7639574351044114,0.1202250394723691,0.3745112823624103,1.8775570620843745
58,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,2.078721374329213,,,,,,,,,,,-0.3074950129794451,,,2.2495725457541105,
59,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,-0.0181886386788436,,,,,,,,-0.0473102117072967,,-0.0922136309465593,,,,,0.0256793617529863
60,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,1.4766613830012505,1.766830951689499,1.8400935424117304,,,,,,1.7485698056367784,,1.5944878526382875,,,-0.4026537058079684,-0.0588464860101975,
61,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,0.3005701239455692,,,,0.7952982523159721,0.667174230092035,,0.6593408778927499,0.8735085422450785,,0.2942346876973831,0.3122937453089489,0.4836003707712898,,0.8556998217388563,0.557884990033405
62,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,-0.9212786256707872,,,,,,,,1.7463554761396598,,,,,,,
63,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,-0.3866762590270699,,,,,,,,,-0.0964316478485356,,,0.1875634901566805,,,
64,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,0.6153481421417907,0.3688909430174616,,,,,,,,,,,,,,
65,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.217408133469753,,,,,,,,,,,,,,-0.258356059544751,
66,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,1.4339497529284346,,,,,,,,1.8432654891477165,,,,,,1.8385539534633053,
67,COc1ccc2[n-]c([S@@](=O)Cc3ncc(C)c(OC)c3C)nc2c1,0.7713559424170455,,,,,1.1442954848116975,,,1.1442954848116975,,,,,1.0956661512183816,1.0319545238714756,
68,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,0.7713559424170455,,,1.111733975867637,,1.1442954848116975,0.8904601426676046,,1.1442954848116975,,0.7677283613573452,,0.7248756829534712,1.0956661512183816,0.9182230515353428,
69,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0.056823572249181,,1.4276094338136749,,2.2495725457541105,,,,,,1.600621337203474,,,,0.0599832474717191,
70,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,-0.4396210525022505,0.1442682257747082,0.0092160498267778,,-0.4493974585819084,-0.3022738574536561,-0.479716957136695,,1.542235493483735,,1.5426293902257875,,,-0.0804251078372997,1.465800956025518,
71,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,1.898090824052881,,,,,2.175509494027578,,,1.8432654891477165,,,,,,,
72,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,1.5970608283888998,1.520283042863305,1.6112760411547402,,,,,,1.7463554761396598,,,,,,,
73,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,2.2055471876704758,2.043161788143643,2.1341547864350776,,,,,,2.2692342214199974,,,,,2.2206048878266818,1.902630115273532,
74,N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O,1.4078759215012182,,,,0.5765270664203931,2.550602541418092,2.219253047199324,,1.26345142460329,,2.746749372881712,,,,,
75,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,0.1954734474833729,0.6079895197828368,0.1341547864350777,,,,,0.7184767764233979,0.3984637414249497,,0.6675681268340874,0.6171930558713614,,,-0.0973698847264684,-0.0973698847264684
76,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0.5934134561554105,-0.0452229939925069,0.140071801151699,0.1516770816033095,,-0.0056999593491957,,,0.4004358073647118,,-0.0556407244927706,0.2440240867212283,0.977820358368864,0.1414236417790566,0.3005701239455692,0.3005701239455692
77,CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C,0.4452982214386894,,,,,,,,,-0.0299228979049201,,,,-0.014932966849499,,
78,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,2.047358212766652,,,,,1.081677044740299,1.1223430341912677,1.2236267547433035,1.0174557357581302,1.1741970847510046,0.9987282627476356,1.8003265874885157,1.264351177887696,,0.9818113613211564,
79,Nc1nc(=O)[nH]cc1F,0.5702369580469893,,,,,,0.3441917838076238,,,,,,,,0.2036601109375127,0.2036601109375127
80,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0.843238230110727,0.6777453088233809,0.6171930558713614,,1.1785870577483557,0.701465803028693,0.6171930558713614,1.1723445542208557,0.6372444940465242,,0.7329282563911367,1.1982665961605532,,0.6840370374865198,0.6016001196095504,
81,CO[C@H]1O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O[C@H]3O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O[C@H]5O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)[O-])[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)[O-])[C@H]3NS(=O)(=O)[O-])[C@H](O)[C@H]2OS(=O)(=O)[O-])[C@H](O)[C@H]1NS(=O)(=O)[O-],2.038689293903528,,,,,,,,,,,,,1.928904621014154,,
82,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0.3397192895675089,,,,,0.3437039317832113,,,0.3267093574169676,,,,-0.1016237101439871,,,
83,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,1.8337676584547904,,,1.8048895953786528,,1.8385539534633053,,,1.8215593790970617,,,,,,1.4766613830012505,
84,NC(=O)NO,1.2308583276509344,,,,,,,,,,,,1.1202250394723692,,,
