ID,SMILES,Filtered cholestatic Jaundice_IC50,Filtered Hepatic Failure_IC50,Filtered Hepatic necrosi_IC50,Filtered Hepatiti_IC50,Filtered HepatoCellular injury_IC50,Filtered Hepatotoxicity_IC50,Filtered Hyperbilirubinemia_IC50,Filtered Jaundice_IC50,Filtered Liver Injury_IC50
50,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,2.1723445542208557,2.115758579184873,,2.288802363820921,,,,1.2065951801229928,
51,CN/C(=C/[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-0.0037467048348258,0.6030125841426194,0.2939441712567324,0.1127111047652396,0.2232942790582034,0.1382268874221281,,0.0605026786989565,
52,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,-0.304776700498807,-0.4071314403724196,,-0.5588982031843198,-0.1596513039521126,2.314318146477809,,0.1117339758676369,
53,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,-1.1286854414431258,-1.0299228979049202,-1.1320245610155488,-1.1461634321209375,-0.7534724918220228,-0.8553106184462501,,-1.1852714164791085,
54,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@H]3CC[C@@H](O)[C@@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,2.2410469041300107,1.0950158387033797,1.2395865089341398,1.9787753044873624,2.1496174951699207,2.445719377217731,1.9827495981990888,1.2977772416355595,
55,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@@]21C,-0.3610130871979516,-0.3309528935689013,-0.4330545566795299,-0.447193427784919,-0.054502487486004,,,-0.3748638239781098,-0.4297154371071069
56,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,1.6570367205201812,,,,,,,,
57,Clc1ccccc1CN1CCc2sccc2C1,0.0372479622317873,,,0.4759406868159607,,,,,
58,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,-0.8658420247601563,,,-0.625795320357995,,,-0.4324502067262836,-0.0913292393182565,
59,Clc1ccc2nsnc2c1NC1=NCCN1,0.8788854701365377,,,0.941814990346583,1.2922849987386522,1.190446872114425,,1.015834592655755,
60,COc1cccc([C@]2(O)CCCC[C@H]2CN(C)C)c1,-0.1668720204241374,0.1166818908955796,,0.0608828481557328,0.2465275081779771,,0.0699898143472427,,
61,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,-0.0419332838158375,-0.0056051183611481,0.144445508695679,0.0305039210673114,1.6462729933858684,-0.0459505532364054,0.0950158387033797,0.0153988792759046,1.394193303837212
62,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,1.8563648123311665,,,0.2132932470875481,,,0.3165228276882249,1.9287529228814912,
